k,rondas,consenso
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
